mode_label,stop_id,stop_calls
bus,18426,583
bus,18477,583
bus,18484,581
bus,18454,578
bus,5620,866
bus,5621,1030
bus,5622,1027
bus,18357,874
bus,18355,858
bus,18362,874
bus,18371,845
bus,18395,879
bus,18394,877
bus,18397,883
bus,18409,876
bus,18420,774
bus,38642,2049
bus,22966,1860
bus,23731,1971
bus,24173,600
bus,23577,600
bus,23698,1027
bus,43521,717
bus,43520,1033
bus,812,1652
bus,24125,401
bus,24123,499
bus,22180,364
bus,22209,504
bus,51155,364
bus,22181,441
bus,21945,441
bus,49982,437
bus,49986,437
bus,44163,441
bus,49989,1360
bus,49988,1287
bus,21872,1952
bus,13427,1593
bus,49697,1593
bus,43205,1568
bus,13107,634
bus,13500,634
bus,47442,2674
bus,12952,3608
bus,12945,2640
bus,48403,2041
bus,48080,1979
bus,13595,2505
bus,13597,1456
bus,47406,2094
bus,12878,1881
bus,45038,3407
bus,45041,3011
bus,12881,1161
bus,13318,1779
bus,13740,1671
bus,13942,1347
bus,13946,2649
bus,13220,2457
bus,13153,2238
bus,13093,1105
bus,12899,1377
bus,13997,1068
bus,13030,2492
bus,13241,3781
bus,13243,3781
bus,13244,3769
bus,14613,3850
bus,23944,848
bus,23947,848
bus,24001,848
bus,23999,1795
bus,43486,3638
bus,24006,2344
bus,24012,1954
bus,24017,3619
bus,24020,3957
bus,13371,3009
bus,13375,3203
bus,13382,3203
bus,13404,2404
bus,43288,3006
bus,43285,3006
bus,43275,2845
bus,43313,855
bus,43273,623
bus,13475,385
bus,13503,385
bus,13505,385
bus,13511,385
bus,39962,3067
bus,13204,5321
bus,13354,5696
bus,13181,5005
bus,29339,3473
bus,14100,2073
bus,14126,2459
bus,48271,507
bus,24722,2388
bus,23950,539
bus,23940,1209
bus,23942,1282
bus,23962,615
bus,23647,1087
bus,24029,743
bus,24031,840
bus,24044,1227
bus,24039,1003
bus,24015,1138
bus,43271,2724
bus,13496,2956
bus,50501,2502
bus,50498,2502
bus,50503,2299
bus,13055,3456
bus,13223,654
bus,13111,2663
bus,44421,817
bus,12858,2145
bus,13635,2295
bus,13329,1365
bus,12990,2774
bus,37528,5617
bus,13916,1474
bus,13921,1296
bus,13936,1636
bus,13938,1296
bus,13959,1296
bus,13963,1322
bus,13242,1795
bus,14316,5254
bus,13199,3772
bus,13123,1075
bus,13332,3316
bus,51284,5120
bus,13103,10698
bus,13206,7193
bus,49236,4445
bus,49226,4513
bus,37040,1622
bus,29482,4460
bus,13246,4577
bus,24062,1138
bus,22667,856
bus,23619,884
bus,24036,2136
bus,24038,2429
bus,24054,1884
bus,23975,1897
bus,23971,2032
bus,23969,1897
bus,23967,1897
bus,23965,1689
bus,23954,1861
bus,23952,2243
bus,24450,2058
bus,48270,599
bus,15696,1968
bus,23964,1701
bus,23968,1918
bus,23970,1918
bus,23974,2061
bus,24053,2509
bus,24055,1907
bus,16914,897
bus,22668,898
bus,24046,1242
bus,13429,2083
bus,13601,3427
bus,13198,4416
bus,12916,1590
bus,13939,1259
bus,13140,4498
bus,13772,2379
bus,13216,856
bus,13234,834
bus,13803,781
bus,13806,615
bus,13808,615
bus,12866,960
bus,12888,1254
bus,12844,1338
bus,12843,1338
bus,13840,1144
bus,13843,2925
bus,13954,1970
bus,13201,1970
bus,13934,1344
bus,13925,1070
bus,12917,1070
bus,13920,1436
bus,13209,1049
bus,12928,1049
bus,13211,1049
bus,48996,776
bus,13951,1278
bus,13990,673
bus,13994,673
bus,13998,673
bus,13999,673
bus,29462,750
bus,13838,2380
bus,13835,2380
bus,12826,1330
bus,13829,1191
bus,12891,588
bus,12845,1209
bus,13261,336
bus,12877,336
bus,12836,696
bus,12818,2389
bus,34277,881
bus,13849,1355
bus,13845,1355
bus,13802,1355
bus,13844,1193
bus,14018,1378
bus,14017,1378
bus,14016,1007
bus,14588,468
bus,13911,811
bus,13904,527
bus,13897,1525
bus,13889,1525
bus,13885,1247
