from_stop,to_stop,trip_frequency
2007,3033,605
3033,2008,605
10464,8938,605
15696,23964,605
2008,1959,605
2238,2236,604
2091,2085,604
4635,4565,604
13333,13207,604
12898,14348,604
2499,2564,604
2240,2238,603
13272,13225,603
13628,13272,603
21037,4857,603
7345,7346,603
7491,7345,603
24134,24136,602
21369,46240,602
7566,36929,602
3526,3254,602
7371,7372,602
1249,3854,602
5708,5709,601
13198,12916,601
7355,7396,601
7384,7385,601
7369,7370,600
25883,26308,600
7632,7633,600
19379,18193,600
7362,7363,599
7361,7362,599
7360,7361,599
5165,4509,599
18155,19379,599
3437,3735,598
15433,15434,598
13640,13643,598
3158,35623,597
3372,3521,597
3016,3158,597
25656,26138,596
13642,13641,596
7633,7549,596
13714,13712,596
7549,7579,596
13720,13714,596
355,48478,595
13252,13274,595
9954,8760,595
369,370,595
9457,9633,595
26138,25657,594
24157,22817,594
43743,41022,594
41022,262,594
13496,47442,594
367,369,594
9432,11574,594
48478,367,594
4164,4162,593
13421,13256,593
15434,15435,593
5709,5710,593
15432,15433,593
24279,16199,593
10449,8975,593
7387,7480,592
2175,3852,592
7477,7478,592
7478,7349,592
23953,25353,592
2560,2561,592
267,203,591
2409,3971,591
7350,7351,591
13140,13333,591
374,372,591
8996,8997,591
7351,7352,591
21097,18199,590
13354,13181,590
24150,24159,590
15431,15432,590
15723,15794,590
27622,28915,590
13288,13274,589
40026,40778,589
15796,15867,589
13039,13040,589
3163,1961,588
1960,3163,588
2243,2244,588
13320,12890,588
1963,2560,588
1962,1963,588
1961,1962,588
14564,13717,588
1906,1851,588
10037,10054,587
13260,13834,587
10054,10055,587
1851,35853,587
16281,25267,587
3854,2175,587
381,385,586
2627,2654,586
385,724,586
2079,2620,586
7771,48708,586
10519,9820,585
12951,12997,585
12997,13580,585
13206,12951,585
2244,2255,585
13126,13118,585
10192,9428,584
10588,50937,584
13145,14126,584
13062,13092,583
13897,13889,583
8114,8410,582
23925,23935,582
10335,8949,582
9028,10990,581
3507,17488,580
13440,13390,580
2170,2053,580
2473,2474,579
370,373,579
13306,13689,579
1930,1934,579
14046,29353,579
8487,7516,578
8950,10735,578
16205,25278,578
13390,13389,578
13134,29371,578
4674,19615,577
24167,16006,577
7383,7416,577
10588,9560,576
13679,13127,576
35850,2626,576
25881,25882,575
11479,10702,575
25982,25983,575
9048,41133,575
11931,25881,575
24005,23998,575
49210,49212,574
4859,21009,574
8768,8972,574
16978,35851,574
8972,8973,574
8815,47119,574
49212,13042,574
35852,16978,574
4855,21145,574
3369,3521,574
14056,14057,573
13774,12915,573
8824,8825,573
10492,11511,573
25277,25275,573
15531,15722,573
15867,15531,573
10780,9893,573
10847,43801,572
25273,22099,572
13675,45038,572
2578,3955,572
2239,2471,572
13182,12898,572
13839,13886,571
8704,44961,570
51281,23104,570
29368,14052,570
14549,42859,570
13717,13694,569
9382,9684,569
29514,13499,569
8744,8745,568
8743,8744,568
1861,1868,568
15606,25136,568
12834,45039,568
41163,41171,567
13263,12830,567
24071,21528,567
7553,7554,567
9730,11792,567
2139,2114,567
1456,1447,566
47934,48515,566
13644,13642,566
9847,9842,566
10051,9847,566
10050,10051,566
3917,1446,566
9845,9846,566
9841,9845,566
9846,10050,566
358,599,565
11770,11771,565
44265,44263,565
13366,13368,565
8668,8824,565
44473,44472,565
25926,25927,564
13649,44469,564
7551,7552,564
13685,13692,564
25078,48870,564
3878,3201,564
1398,1391,564
10785,49354,563
44472,13649,563
18121,51615,563
25987,36807,563
48513,48514,563
7501,7644,562
7643,7501,562
16403,16282,562
7644,7645,562
7552,7553,562
50398,47982,561
10658,10036,561
13569,13228,561
36807,26181,561
10053,10658,561
13158,13156,561
8457,7910,561
25700,25839,561
27646,25833,560
3077,1877,560
7645,7509,560
9695,9342,560
48080,13595,560
13246,13428,560
24424,24426,560
10241,10700,560
7395,7353,559
25886,25887,559
7557,7546,559
24083,24158,559
12884,12838,559
1859,3233,559
25885,25886,559
34707,8126,558
29340,13134,558
48512,50356,558
13427,49697,557
23965,23954,557
14507,13474,557
14508,14507,557
24421,24424,556
47406,12878,556
50385,13636,556
9429,10710,555
13701,13703,555
17301,1989,555
15429,15430,555
24427,24425,555
