trans_id,lang,translation
א.ד. גורדון/יעקב רבינוביץ,HE,א.ד. גורדון/יעקב רבינוביץ
א.ד. גורדון/ירושלים,AR,أ. د. چوردون/يروشلايِم
א.ד. גורדון/ירושלים,EN,Gordon/Yerushalayim
א.ד. גורדון/ירושלים,HE,א.ד. גורדון/ירושלים
א.ד. גורדון/עמיצור אברהם,AR,أ. د. چوردون/عميتسور أڤراهام
א.ד. גורדון/עמיצור אברהם,EN,Gordon/Amitsur Avraham
א.ד. גורדון/עמיצור אברהם,HE,א.ד. גורדון/עמיצור אברהם
א.ד.גורדון/חזון אי"ש,AR,أ. د. چوردون/حزون إي"ش
א.ד.גורדון/חזון אי"ש,EN,Gordon/Hazon Ish
א.ד.גורדון/חזון אי"ש,HE,א.ד.גורדון/חזון אי"ש
א.ד.גורדון/מנחם אוסישקין,AR,أ.د. غوردون/مناخم أوسيشكين
א.ד.גורדון/מנחם אוסישקין,EN,A.D. Gordon/Menahem Ussishkin
א.ד.גורדון/מנחם אוסישקין,HE,א.ד.גורדון/מנחם אוסישקין
א.ד.גורדון/שדרות יצחק רבין,AR,أ.د. غوردون/جادة يتسخاك ربين
א.ד.גורדון/שדרות יצחק רבין,EN,A.D. Gordon/Yitzhak Rabin Boulevard
א.ד.גורדון/שדרות יצחק רבין,HE,א.ד.גורדון/שדרות יצחק רבין
א.הארגמן לפני הק,HE,א.הארגמן לפני הק
א.התעשיה,HE,א.התעשיה
א.י.ל לחקלאי,HE,א.י.ל לחקלאי
א.ל. זיסו/הר שומרון,AR,أ. ل. زيسو/هار شومرون
א.ל. זיסו/הר שומרון,EN,Zissu/Mt. Shomron
א.ל. זיסו/הר שומרון,HE,א.ל. זיסו/הר שומרון
א.ס לוי/ טייטלבאום,AR,أ.س ليڤي/تايتلباوم
א.ס לוי/ טייטלבאום,EN,A.S. Levy/Taitelbaum
א.ס לוי/ טייטלבאום,HE,א.ס לוי/ טייטלבאום
א.ס לוי/טווינה,AR,أ. س. ليڤي/تڤينا
א.ס לוי/טווינה,EN,Levi/Twina
א.ס לוי/טווינה,HE,א.ס לוי/טווינה
א.ס לוי/מבצע יהונתן,AR,أ. س. ليڤي/مڤتساع يهونتان
א.ס לוי/מבצע יהונתן,EN,Levi/Mivtsa Yonatan
א.ס לוי/מבצע יהונתן,HE,א.ס לוי/מבצע יהונתן
א.ס לוי/סעדיה מרדכי,AR,أ. س. ليڤي/سِعاديا مردخي
א.ס לוי/סעדיה מרדכי,EN,Levi/Sa'adia Mordekhay
א.ס לוי/סעדיה מרדכי,HE,א.ס לוי/סעדיה מרדכי
א.ס. לוי/ורדים,AR,أ. س. ليڤي/ ڤرَديم
א.ס. לוי/ורדים,EN,Levi/Vradim
א.ס. לוי/ורדים,HE,א.ס. לוי/ורדים
א.ס. לוי/טייטלבאום,AR,أ. س. ليڤي/تايتلباوم
