fare_id,route_id,origin_id,destination_id,contains_id
201,,31780,32588,
201,,37028,20698,
201,,41935,42996,
201,,50258,59330,
201,,36275,31610,
201,,59463,58415,
202,,35292,60294,
202,,34222,21717,
204,,53369,51084,
201,,31342,33831,
202,,33736,2252,
201,,21665,30836,
201,,33484,33154,
201,,51419,52254,
202,,2614,60288,
201,,61008,61327,
201,,63409,63363,
202,,33179,26683,
202,,43270,56241,
202,,60216,151,
204,,58008,54198,
201,,15468,18403,
201,,16058,16063,
201,,30786,34535,
201,,53520,52656,
201,,55355,59024,
201,,57148,58070,
202,,647,2047,
202,,16157,18119,
202,,11365,35558,
202,,30337,63282,
202,,51523,53043,
201,,11287,11969,
201,,21123,26790,
201,,45643,47131,
201,,54036,50601,
201,,58727,55205,
201,,61539,60198,
202,,63220,30271,
202,,5482,15209,
201,,61141,60198,
202,,41633,50881,
202,,31165,38908,
202,,51164,40505,
202,,46143,39170,
201,,12073,19926,
201,,30205,31817,
201,,60001,228,
202,,34230,20745,
202,,50882,40273,
201,,12615,10049,
201,,10347,19878,
201,,21033,32612,
201,,33707,31736,
201,,39833,39709,
201,,43251,41738,
201,,61278,3857,
201,,13948,16460,
201,,31215,39742,
201,,52723,56711,
201,,57380,57115,
202,,5369,3379,
202,,12667,16038,
202,,16491,18508,
202,,25071,33191,
202,,55324,53069,
201,,15579,12140,
201,,26704,21337,
201,,3121,61362,
201,,3124,63431,
201,,57025,57026,
