mode_label,from_stop,to_stop,trip_frequency
bus,5277,5278,428
bus,5278,5279,443
bus,5279,6339,188
bus,6339,19673,249
bus,19673,18940,166
bus,18940,19985,146
bus,19985,18946,131
bus,18946,18947,131
bus,18947,20073,131
bus,20073,20089,131
bus,20089,18995,131
bus,18995,46432,80
bus,46432,20711,80
bus,20711,20712,131
bus,20712,19997,39
bus,19997,44968,56
bus,44968,20216,56
bus,20216,20306,57
bus,20306,20018,53
bus,20018,20301,43
bus,20301,20625,46
bus,20625,20203,43
bus,20203,20221,179
bus,20221,7157,179
bus,20528,4290,298
bus,20635,4291,243
bus,4291,20636,243
bus,4288,4292,243
bus,6246,18421,7
bus,18421,7216,667
bus,7216,18434,317
bus,18434,18423,709
bus,18423,5617,688
bus,5617,5618,1492
bus,5618,5619,1498
bus,5619,18426,315
bus,18426,18477,583
