stop_id,largest_component_share_surviving,pairs_disconnected_share,components_after,route_type,mode_label,stop_name,metro,degree,weighted_degree,exact_betweenness,is_articulation_point
10895,0.8421,0.0,2,715,demand/other bus,מחלף בית שמש,Periphery,2,48,0.047002,False
10933,0.8421,0.0,2,715,demand/other bus,מסעף ישעי,Periphery,3,96,0.067209,False
10918,0.8421,0.0,2,715,demand/other bus,ישעי א,Periphery,2,96,0.024927,False
48722,0.8421,0.0,2,715,demand/other bus,ישעי ב,Periphery,2,96,0.014804,False
10916,0.8421,0.0,2,715,demand/other bus,ישעי ג,Periphery,2,96,0.005254,False
48596,0.8421,0.0,2,715,demand/other bus,ישעי ד,Periphery,2,96,0.002054,False
10910,0.8421,0.0,2,715,demand/other bus,צרכניה,Periphery,2,96,0.008229,False
10917,0.8421,0.0,2,715,demand/other bus,ישעי ו,Periphery,2,96,0.018105,False
10919,0.8421,0.0,2,715,demand/other bus,ישעי ז,Periphery,2,96,0.028227,False
48699,0.8421,0.0,2,715,demand/other bus,ישעי ח,Periphery,3,96,0.164216,False
10932,0.8421,0.0,2,715,demand/other bus,מסעף ישעי,Periphery,2,48,0.140709,False
11092,0.8421,0.0,2,715,demand/other bus,צומת שמשון,Jerusalem,2,48,0.024442,False
11093,0.8421,0.0,2,715,demand/other bus,צומת אשתאול,Jerusalem,2,48,0.002963,False
41495,0.8421,0.0,2,715,demand/other bus,מחלף שמשון לצפון,Jerusalem,2,48,0.014349,False
11094,0.8421,0.0,2,715,demand/other bus,צומת אשתאול,Jerusalem,3,48,0.018531,False
11118,0.8421,0.0,2,715,demand/other bus,קוצין/קרלה,Jerusalem,2,32,0.007436,False
11250,0.8421,0.0,2,715,demand/other bus,קוצין/קרלה,Jerusalem,3,45,0.03927,False
11117,0.8421,0.0,2,715,demand/other bus,מלבר/סמטת מאלה,Jerusalem,2,45,0.000247,False
11115,0.8421,0.0,2,715,demand/other bus,מלבר ב,Jerusalem,2,58,0.003703,False
11116,0.8421,0.0,2,715,demand/other bus,מלבר ג,Jerusalem,2,42,0.014349,False
11119,0.8421,0.0,2,715,demand/other bus,מחלף מסילת ציון,Jerusalem,2,48,0.048914,False
41496,0.8421,0.0,2,715,demand/other bus,מחלף שמשון למערב,Jerusalem,2,48,0.002563,False
11090,0.8421,0.0,2,715,demand/other bus,מחלף שמשון לדרום,Jerusalem,2,48,0.011364,False
11080,0.8421,0.0,2,715,demand/other bus,מחלף הרטוב,Periphery,2,48,0.020252,False
10912,0.8421,0.0,2,715,demand/other bus,מחלף בית שמש,Periphery,2,48,0.140781,False
10798,0.8421,0.0,2,715,demand/other bus,לוזית מרכז א,Periphery,1,24,0.0,False
50532,0.8421,0.0,2,715,demand/other bus,גבעות עדן א',Periphery,2,53,0.000261,False
50531,0.8421,0.0,2,715,demand/other bus,גבעות עדן כניסה,Periphery,2,52,0.000261,False
50444,0.8421,0.0,2,715,demand/other bus,צומת כביש 367/גבעות עדן למערב,Periphery,2,52,0.010892,False
10859,0.8421,0.0,2,715,demand/other bus,צומת רוגלית,Periphery,2,52,0.021523,False
10857,0.8421,0.0,2,715,demand/other bus,צומת רוגלית,Periphery,2,52,0.04712,False
10856,0.8421,0.0,2,715,demand/other bus,מגרש ספורט,Periphery,2,54,0.021523,False
