stop_id,stop_name,lat,lon,degree,weighted_degree,mode_label,route_type,exact_betweenness,stop_calls,n_routes,is_articulation_point,component_id,region,metro
11028,שדרות יגאל אלון/קניון שער העיר,31.756197,34.985749,3,94,demand/other bus,715,0.074919,47,2,False,0,Jerusalem,Periphery
10831,צומת עדולם,31.683746,34.982086,2,46,demand/other bus,715,0.07467,23,1,False,0,Center,Periphery
10853,מסעף אביעזר,31.681346,35.00375,4,106,demand/other bus,715,0.074246,53,2,False,0,Center,Periphery
10820,צומת האלה,31.687139,34.947272,2,46,demand/other bus,715,0.073959,23,1,False,0,Center,Periphery
36797,כביש 3855/שדרות יגאל אלון,31.751453,35.000784,3,94,demand/other bus,715,0.072378,47,2,False,0,Jerusalem,Periphery
10830,צומת עדולם,31.683287,34.981247,3,86,demand/other bus,715,0.071512,43,2,False,0,Center,Periphery
37273,שדרות יגאל אלון/הצבע,31.753943,34.994399,2,98,demand/other bus,715,0.071226,49,2,False,0,Jerusalem,Periphery
11035,יגאל אלון/העלייה,31.75591,34.989729,2,94,demand/other bus,715,0.070911,47,2,False,0,Jerusalem,Periphery
41168,שדרות יגאל אלון/3855,31.752143,35.000006,3,98,demand/other bus,715,0.070043,49,2,False,0,Jerusalem,Periphery
37274,שדרות יגאל אלון/הצבע,31.753714,34.994922,2,94,demand/other bus,715,0.069168,47,2,False,0,Jerusalem,Periphery
10832,מסעף נתיב הל''ה,31.684202,34.985165,2,40,demand/other bus,715,0.068396,20,1,False,0,Center,Periphery
10933,מסעף ישעי,31.748264,34.973924,3,96,demand/other bus,715,0.067209,48,4,False,0,Jerusalem,Periphery
10858,מזכירות,31.672713,35.007671,4,106,demand/other bus,715,0.064966,53,2,True,0,Center,Periphery
10833,מסעף נתיב הל''ה,31.684228,34.986415,2,46,demand/other bus,715,0.058847,23,1,False,0,Center,Periphery
10633,הכלנית/38,31.70696,34.948021,3,96,demand/other bus,715,0.053019,48,4,False,0,Center,Periphery
10825,מסעף זכריה,31.706388,34.948163,2,48,demand/other bus,715,0.052167,24,2,False,0,Center,Periphery
11022,מסעף צרעה,31.755648,34.981629,2,48,demand/other bus,715,0.051713,24,2,False,0,Jerusalem,Periphery
11073,כביש 3855/רבי יוסף קארו,31.746194,35.002247,3,98,demand/other bus,715,0.049277,49,2,False,0,Jerusalem,Periphery
