stop_id,stop_name,region,bt_traveltime,bt_hop_control,rank_traveltime,rank_hop_control,rank_shift_vs_control,rank_shift_vs_nb04,abs_shift
7559,שדרות בית הלל/ יציאה מהעיר,Center,0.014668578296409052,0.009332312012164883,288,223,-65,-21,65
787,מחלף ירקון,Center,0.009916035331833033,0.005757200773611174,520,455,-65,-138,65
27714,צומת הנשיא,South,0.03293970735778997,0.012620620757202931,71,133,62,122,62
21851,מסעף יסודות,Center,0.038631844457774914,0.01425976653391736,41,103,62,63,62
26711,צומת עומר מערב,South,0.013438996927051503,0.006350391979533646,325,386,61,1740,61
13358,סמינר הקיבוצים/דרך נמיר,Center,0.030208566415923368,0.011908483813742663,83,143,60,1191,60
6707,צומת ירכא/ג'וליס,North,0.01633854921217921,0.010318396250141557,247,188,-59,253,59
6708,מסעף טל אל,North,0.016442095592791542,0.01036152134804785,243,185,-58,239,58
20384,צומת יזרעאל,North,0.01576085634590352,0.009999708709832696,255,201,-54,52,54
3521,מת''מ,North,0.012496520858363036,0.007617534014725572,356,303,-53,-221,53
14165,סינמה סיטי/כביש 2,Center,0.018734954384726058,0.012222869120468906,191,138,-53,-19,53
2563,צומת אולגה,Center,0.026989452325033695,0.011795468773931846,98,148,50,18,50
4124,צומת כפר קרע,Center,0.0884112132746209,0.020234730155565487,5,53,48,35,48
15176,צומת ניצני עוז,Center,0.02077041287192515,0.013497891755646042,160,113,-47,-101,47
10226,יגאל ידין/דרוק,Jerusalem,0.054626898939656575,0.018359456597558048,18,64,46,69,46
3668,צומת זבולון,North,0.02343293740184843,0.016157133896991877,126,80,-46,4,46
44258,יגאל ידין/רבי שלמה זלמן דרוק,Jerusalem,0.01751172329817868,0.008652368872910883,216,256,40,1001,40
23418,רבי יהודה הנשיא/כניסה לעיר,Center,0.03706470446065864,0.04423648935294304,45,9,-36,-38,36
20917,מחלף המוביל/לדרום,North,0.0337584762468193,0.025880289489923256,64,28,-36,-31,36
18825,צומת אחיהוד,North,0.01643375068080769,0.009681581494293158,244,211,-33,-58,33
19581,צומת אחיהוד,North,0.031285309357667816,0.02246159769322999,76,44,-32,-38,32
26707,צומת הנגב,South,0.03081690809716944,0.021670470359951104,79,49,-30,-5,30
454,צומת הדסים,Center,0.011141097082052038,0.0062151831218232815,433,403,-30,25,30
29350,מחלף מסובים,Center,0.0484834132539397,0.020866683704028423,22,51,29,28,29
21744,צומת מודיעים (גמזו),Center,0.0421375186541936,0.018688822013673966,33,62,29,4,29
27876,צומת יד מרדכי,Center,0.015214365235106284,0.008917771187233133,271,243,-28,-140,28
751,מחלף קסם,Center,0.043007360631029216,0.019512809143970865,30,57,27,14,27
21778,מחלף גדרה/נתיב תחבורה ציבורית,Center,0.020765401159364344,0.012501980849652433,161,135,-26,7,26
29243,תחנת התרעננות/פונדק בית קמה,South,0.04070004924497943,0.038035572657114346,38,13,-25,-29,25
2392,מחלף יגור,North,0.0425941344839913,0.019860265663068435,31,56,25,10,25
39133,מחלף קמה לדרום,South,0.03979430945666954,0.03351992850572098,39,17,-22,9,22
4132,צומת כפר קרע,Center,0.0413784512585506,0.03560071361455061,36,15,-21,-23,21
10886,מסעף מבוא ביתר,Jerusalem,0.009918309450641488,0.005544659149524179,519,499,-20,-294,20
22235,מחלף נתניה,Center,0.026283318940314757,0.015486816166966576,103,84,-19,-22,19
14355,מחלף מורשה,Center,0.04307344568605261,0.022094530045620446,28,46,18,3,18
1296,מחלף יגור,North,0.03542891792343037,0.023606590377941696,55,39,-16,-36,16
28327,צומת פלוגות לדרום,Center,0.013489243098366743,0.00749092702242707,323,307,-16,487,16
25939,שד' בן גוריון/רמז,Center,0.013866630246216151,0.007149504071564767,312,327,15,995,15
25688,צומת עד הלום/כביש 4,Center,0.015279870952761208,0.008670706830055023,266,251,-15,-15,15
26630,מועצה אזורית רמת הנגב,South,0.012754206888410856,0.006679657192522529,347,358,11,4,11
