stop_id,stop_name,lat,lon,region,metro,degree,community_louvain,community_lp
38891,שדרות עלי הכהן/שוהם,32.075077,35.273589,Center,Periphery,2,39,2338
8246,הכלנית/הנורית,32.068794,35.262597,Center,Periphery,2,39,2278
8244,הכלנית/משעול הכרכום,32.067545,35.260545,Center,Periphery,2,39,2278
8245,הלילך/משעול היקינטון,32.069566,35.259351,Center,Periphery,2,39,2278
34947,הנורית/הלילך,32.070172,35.261802,Center,Periphery,2,39,2278
38352,בני יעקב/נפתלי,31.950541,35.260695,Center,Periphery,2,39,3678
38351,משעול השקד/בני יעקב,31.950506,35.262805,Center,Periphery,2,39,3678
34725,אהבת ישראל ג,31.879147,35.238102,Jerusalem,Jerusalem,2,39,1084
8159,מקור ברוך/אהבת ישראל,31.878357,35.239861,Jerusalem,Jerusalem,2,39,4076
51548,גל/רחמילביץ,31.823215,35.242538,Jerusalem,Jerusalem,2,39,1646
42155,מסוף שער בנימין/הורדה,31.864868,35.261917,Jerusalem,Jerusalem,1,39,3837
38838,שדרות נווה יעקב/משה סנה,31.837425,35.231509,Jerusalem,Jerusalem,1,39,1146
42150,מסוף שער בנימין/הורדה,31.864868,35.261917,Jerusalem,Jerusalem,1,39,64
8049,מחנה רבין,31.858529,35.335336,Center,Jerusalem,1,39,64
4634,שדרות הבנים/שד' שאול עמור,32.67824,35.241113,North,Periphery,11,40,132
4936,רמת יזרעאל/הזית,32.67418,35.238793,North,Periphery,10,40,189
4542,שד' צבי אלדרוטי/רמת יזרעאל,32.673445,35.239656,North,Periphery,8,40,189
5065,שד' צבי אלדרוטי/שד' הבנים,32.677464,35.241264,North,Periphery,7,40,189
4780,שדרות הבנים/נוף העמק,32.67355,35.251242,North,Periphery,7,40,368
18235,צומת הפיקוד/אל-עמארה,32.694042,35.28755,North,Periphery,7,40,724
21276,יפיע/אל-אלמאניה,32.681407,35.271201,North,Periphery,6,40,570
19372,יפיע/מרכז,32.684157,35.276298,North,Periphery,6,40,1331
4577,העצמאות/משעול הלוטם,32.67847,35.233703,North,Periphery,6,40,575
5094,מתנ''ס/רמת יזרעאל,32.6751,35.235981,North,Periphery,6,40,1379
47768,מסוף מגדל העמק/רציפים,32.679059,35.239338,North,Periphery,6,40,132
5017,קניון/שאול עמור,32.678313,35.242546,North,Periphery,6,40,1549
18972,צומת תמרת,32.698457,35.21501,North,Haifa,5,40,570
20945,יפיע/בית עלמין,32.685809,35.277662,North,Periphery,5,40,1411
18239,צומת אום וואסף/דרך חיפה,32.693275,35.290653,North,Periphery,5,40,1930
4706,מנזר המלאך גבריאל,32.676881,35.247274,North,Periphery,5,40,368
5097,שד. הבנים/חבצלת,32.673707,35.250723,North,Periphery,5,40,368
4927,קרן היסוד/שד' צבי אלדרוטי,32.673351,35.240731,North,Periphery,5,40,189
4540,שד' צבי אלדרוטי/קרן היסוד,32.674234,35.240172,North,Periphery,5,40,189
4664,יזרעאל/עצמאות,32.675131,35.236088,North,Periphery,5,40,7004
4974,התימורים/קדש,32.682705,35.231346,North,Periphery,5,40,1409
18359,אל-פאח'ורה/מרג' אבן עאמר,32.68664,35.289832,North,Periphery,5,40,1934
4701,בי''ס אל-וואספיה,32.691825,35.292123,North,Periphery,5,40,724
19468,כיכר העיר,32.677437,35.24222,North,Periphery,5,40,132
4239,סיני/שד. הבנים,32.686179,35.234792,North,Periphery,5,40,570
19083,שד' הבנים/העצמאות,32.680881,35.238792,North,Periphery,5,40,132
4827,משטרה/שדרות הבנים,32.677467,35.24648,North,Periphery,5,40,368
19369,יפיע/אל-אלמאניה,32.680886,35.269732,North,Periphery,5,40,453
35368,שדרות שאול עמור/נחל הצבי,32.681454,35.24859,North,Periphery,5,40,6334
