from_stop,to_stop,from_name,to_name,trip_frequency
26842,26843,מואב/לשם,מלון יפה נוף,592
50971,3159,מרכזית הקריות/איסוף,מנחם בגין/שניאורסון,583
3709,35658,שאגאל/סרה,שאגאל/דגה,577
35658,3518,שאגאל/דגה,שאגאל/קנדינסקי,577
3518,3499,שאגאל/קנדינסקי,שאגאל/פיקסו,577
3499,3513,שאגאל/פיקסו,שאגאל/ואן גוך,577
3513,3302,שאגאל/ואן גוך,הרר/האורן,577
34238,10768,מוזיאון המדע/שד' המוזיאונים,קמפוס ספרא/מסוף הכניסה לאוניברסיטה,569
11227,9656,צומת אורה,תחנה תפעולית/צומת אורה,563
48267,12838,מסוף אלוף שדה,אלוף שדה/הירדן,561
43699,49672,אליהו הנביא/שדרות נהר הירקון,מסוף אליהו הנביא,551
49730,41321,חניון דרומי/איסוף,שדרות המלאכות/החרט,549
41321,41340,שדרות המלאכות/החרט,האופה/שדרות המלאכות,549
5048,47828,קהילת ציון/שפרינצק,ת.מרכזית עפולה/רציפים,535
3368,48051,סחרוב,ת. מרכזית חוף הכרמל/רציפים עירוני,526
41341,41769,האופה/שדרות המקצועות,שדרות המלאכות/האופה,513
41769,49713,שדרות המלאכות/האופה,חניון דרומי/הורדה,513
8862,49675,נהר הירקון/נהר הירדן,מסוף אליהו הנביא/איסוף,505
17505,48039,שדרות ההסתדרות/צומת הקריות,ת. מרכזית המפרץ/רציפים עירוני,502
50914,50902,הפארק האתגרי,שלום הגליל/טניס,489
50902,6080,שלום הגליל/טניס,שלום הגליל/קניון עכו,489
3368,48034,סחרוב,ת. מרכזית חוף הכרמל/רציפים עירוני,483
17505,48043,שדרות ההסתדרות/צומת הקריות,ת. מרכזית המפרץ/רציפים עירוני,473
3431,50968,נווה גנים,מרכזית הקריות/איסוף,472
38356,50901,שלום הגליל/טניס,הפארק האתגרי,468
15295,15294,ארבע עונות/נירים,נירים/צמרות,451
50065,41257,תרמ''ג/דרך יצחק רבין,פוואר סנטר,446
50974,35772,מרכזית הקריות/איסוף,רפא''ל,425
47762,21507,מסוף אבי האסירים,הרצל/סוקולוב,424
51766,13940,קאנטרי דקל,שטיינמן/הרב קוסובסקי,423
13940,13756,שטיינמן/הרב קוסובסקי,הכנסת הגדולה/תוספתא,423
13756,13755,הכנסת הגדולה/תוספתא,תוספתא/ירושלמי,423
13734,13735,יהודה המכבי/דרך נמיר,הרב הרצוג/הזוהר,423
13755,13735,תוספתא/ירושלמי,הרב הרצוג/הזוהר,423
41810,44080,חיים הרצוג/נתן אלתרמן,חבקוק/שדרות בן גוריון,422
3367,35827,סחרוב,ת. מרכזית חוף הכרמל/הורדה מטרונית,421
13737,13753,הרב הרצוג/בבלי,בבלי/הכנסת הגדולה,419
13754,13941,הרב קוסובסקי/בבלי,הרב קוסובסקי/שטיינמן,419
13733,13736,יהודה המכבי/דרך נמיר,הרב הרצוג/הזוהר,419
13941,13944,הרב קוסובסקי/שטיינמן,קאנטרי דקל,419
13736,13737,הרב הרצוג/הזוהר,הרב הרצוג/בבלי,419
13753,13754,בבלי/הכנסת הגדולה,הרב קוסובסקי/בבלי,419
3368,48220,סחרוב,ת. מרכזית חוף הכרמל/רציפים עירוני,417
5048,48242,קהילת ציון/שפרינצק,ת.מרכזית עפולה/רציפים,415
35771,50943,רפא''ל,מרכזית הקריות/הורדה מטרונית,415
24765,23881,הרצל/שדרות תש''ח,מסוף אבי האסירים,414
5266,47860,גן העיר/הגליל,ת. מרכזית טבריה/רציפים,414
38772,38768,דוכיפת,דוכיפת/שלדג,406
13321,36516,המסגר/לה גווארדייה,ת.מרכזית תל אביב קומה 7/רציפים,394
13752,49245,שד' רוקח/דרך נמיר,ת. רכבת אוניברסיטה/איסוף,391
26122,48113,בית רסקו/יצחק רגר,ת.מרכזית באר שבע/רציפים בינעירוני,390
38769,38771,דוכיפת/עגור,דוכיפת/סנונית,381
38771,38773,דוכיפת/סנונית,דוכיפת,381
38773,38774,דוכיפת,מחלף טל,381
38774,3709,מחלף טל,שאגאל/סרה,381
396,25438,הגפן/השקד,בית גיל הזהב/השקד,367
