from_stop,to_stop,trip_frequency
8668,8824,1837
8668,8669,8
8668,10743,476
8824,8825,1899
8824,10027,3
8825,9814,517
8825,8826,460
8825,10027,922
9814,8827,2059
9814,10069,6
8827,10069,2059
8827,8828,18
10069,10716,1050
10069,10791,638
10069,9990,377
10716,47982,3357
10716,11291,329
10716,8667,12
10716,10776,145
10716,9046,552
10716,37251,317
10716,8703,66
10716,11292,672
10716,10281,19
10716,10321,78
10716,11734,48
10716,10748,43
10716,9697,15
10716,9469,10
10716,10073,3
10716,8750,16
10716,37729,1299
10716,44799,39
10716,41976,139
10716,10264,1152
10716,10446,357
10716,7381,14
10716,51199,14
47982,37251,4858
47982,11880,793
37251,10644,3707
37251,8638,481
37251,10131,933
37251,11880,317
37251,11291,41
10644,8961,2193
10644,8960,2902
9445,44963,2677
9445,11734,392
9445,44960,2918
9445,8703,12
9445,46414,3
44963,44960,2981
44960,8703,1725
44960,10095,304
44960,10236,552
44960,9181,669
44960,9553,1256
44960,8710,112
44960,9048,1265
44960,8667,16
8703,8706,4790
8703,8708,24
8706,8708,4416
8706,8711,2
8706,51846,372
8708,8710,4440
8710,8756,3665
8710,8795,867
8710,8711,8
8710,8796,12
8756,8757,5550
8756,49466,7
8757,49466,5187
8757,8758,341
8757,8711,15
8757,10577,7
49466,8711,1284
49466,10576,1306
49466,9353,6
49466,8758,870
49466,10259,900
49466,9959,688
10757,8617,3203
10757,10784,25
10757,11632,475
8617,10414,871
8617,45042,663
8617,8619,1103
8617,10747,589
8617,9053,3
8617,9445,3
10414,10784,577
10414,10747,309
10414,10020,18
10414,9445,5
10414,8818,2
10264,10225,2036
10264,43905,24
10264,44258,1000
10264,8797,6
10264,9682,12
10264,10627,162
10264,9658,4
10264,49168,224
10264,10498,18
10264,11742,2
10225,8797,1541
10225,47173,481
10225,8806,17
10225,8812,37
10225,11650,6
10225,47016,752
8797,10370,1935
10370,10371,1910
10370,8799,25
10371,8799,1910
8799,10372,2416
10372,8807,2410
10372,8691,6
8807,8808,2410
8808,8809,2410
8809,10228,2410
10228,8811,2416
8811,8812,2416
8812,8813,2410
8813,8814,2420
8814,8802,2410
8814,8700,10
8802,8803,2410
8803,8804,2410
8804,10229,2416
10229,8805,2416
8805,43794,2361
11478,8733,1574
11478,10415,187
11478,8750,51
11478,10759,989
8733,9564,1495
8733,10281,83
8733,10446,529
8733,9742,150
8733,10775,1446
8733,47982,148
8733,37251,304
8733,10225,4
8733,9894,287
8733,46254,62
8733,10173,323
9564,10274,664
9564,11910,1461
9564,9546,1939
9564,9748,252
9564,9547,93
10274,9295,1218
9295,9592,1218
9592,9331,1218
9331,9332,1218
9332,9564,666
9332,8750,392
9332,9894,160
11910,9322,514
11910,9593,1475
9322,10017,514
10017,9323,514
9323,9368,514
9368,9369,869
9369,9728,869
9728,9381,867
9728,9584,2
9381,9382,2441
9382,9458,795
9382,9684,1646
9458,51368,1096
9458,9399,2
51368,9399,2467
9399,9603,1098
9399,10275,1371
9603,9402,1694
9402,9405,1112
9402,51369,582
9405,9396,1112
9405,11624,685
9396,9401,517
9396,9620,595
9401,9665,858
9401,9405,290
9401,9437,12
9401,47002,299
9665,9410,522
9665,46373,336
9410,9606,522
9606,11596,522
11596,9418,522
9418,46206,514
9418,10681,3
46206,9423,514
46206,9414,336
46206,9712,281
9423,9636,2097
