stop_id,stop_name,region,status,degree_bus,degree_all_modes,is_articulation_point_bus,is_articulation_point_all_modes
49142,דנקנר,Center,absent_from_bus_network,0,2,False,True
49143,פינסקר,Center,absent_from_bus_network,0,2,False,True
49144,הבעש''ט,Center,absent_from_bus_network,0,2,False,True
49145,ביאליק,Center,absent_from_bus_network,0,2,False,True
49146,בן גוריון,Center,absent_from_bus_network,0,2,False,True
49147,יוספטל,Center,absent_from_bus_network,0,2,False,True
49148,ארליך,Center,absent_from_bus_network,0,2,False,True
49149,שאול המלך,Center,absent_from_bus_network,0,2,False,True
49150,אבא הלל,Center,absent_from_bus_network,0,2,False,True
49151,בן גוריון,Center,absent_from_bus_network,0,2,False,True
49152,גשר אם המושבות,Center,absent_from_bus_network,0,2,False,True
49153,העמל,Center,absent_from_bus_network,0,2,False,True
49154,בנימין,Center,absent_from_bus_network,0,2,False,True
49155,ז'בוטינסקי,Center,absent_from_bus_network,0,2,False,True
49156,רוטשילד,Center,absent_from_bus_network,0,2,False,True
49424,הנרייטה סאלד - מזרח,Jerusalem,absent_from_bus_network,0,2,False,True
49428,יצחק טבנקין,Jerusalem,absent_from_bus_network,0,2,False,True
49429,גן המפלצת,Jerusalem,absent_from_bus_network,0,2,False,True
49430,מזל קשת,Jerusalem,absent_from_bus_network,0,2,False,True
49432,משה דיין - צפון,Jerusalem,absent_from_bus_network,0,2,False,True
49434,צומת אורה,Jerusalem,absent_from_bus_network,0,2,False,True
49435,שמריהו לוין,Jerusalem,absent_from_bus_network,0,2,False,True
49442,קריית היובל - מערב,Jerusalem,absent_from_bus_network,0,2,False,True
49444,מזל קשת,Jerusalem,absent_from_bus_network,0,2,False,True
49447,בית הספר לרפואה,Jerusalem,absent_from_bus_network,0,2,False,True
49448,הנרייטה סאלד - מזרח,Jerusalem,absent_from_bus_network,0,2,False,True
49449,גן המפלצת,Jerusalem,absent_from_bus_network,0,2,False,True
49450,משה דיין - צפון,Jerusalem,absent_from_bus_network,0,2,False,True
49453,יצחק טבנקין,Jerusalem,absent_from_bus_network,0,2,False,True
49459,שמריהו לוין,Jerusalem,absent_from_bus_network,0,2,False,True
49461,צומת אורה,Jerusalem,absent_from_bus_network,0,2,False,True
49463,קריית מנחם,Jerusalem,absent_from_bus_network,0,2,False,True
49467,בית הספר לרפואה,Jerusalem,absent_from_bus_network,0,2,False,True
49468,קריית מנחם,Jerusalem,absent_from_bus_network,0,2,False,True
49472,קריית היובל - מערב,Jerusalem,absent_from_bus_network,0,2,False,True
34172,בסיס עובדה/ש''ג,South,all_modes_only,4,6,False,True
10794,מסעף נחושה,Center,all_modes_only,3,5,False,True
10811,צומת ליאון שריגים,Center,all_modes_only,2,4,False,True
41133,מחלף חמד,Jerusalem,both,62,62,True,True
9048,בן גוריון/שערי ירושלים,Jerusalem,both,41,41,True,True
10775,גשר המיתרים/שד' הרצל,Jerusalem,both,37,37,True,True
12975,מחלף לה גווארדייה,Center,both,34,34,True,True
13246,בית ספר הולץ/חיל השריון,Center,both,31,31,True,True
13322,המסגר/הרכב,Center,both,27,27,True,True
9553,גשר המיתרים/שד' הרצל,Jerusalem,both,22,22,True,True
13356,דרך קיבוץ גלויות/כביש 1,Center,both,20,20,True,True
14355,מחלף מורשה,Center,both,20,20,True,True
27623,מרכז רפואי סורוקה/אוניברסיטת בן גוריון,South,both,20,20,True,True
23543,יסודות/מזכירות,Center,both,19,19,True,True
28638,משה סנה,Center,both,19,19,True,True
16205,בי''ח בלינסון/גשר מבצע ארנון,Center,both,17,17,True,True
24787,צומת צריפין לצפון,Center,both,17,17,True,True
359,הרצל/בנימין מינץ,Center,both,17,17,True,True
25709,שוק עירוני/בית אשל,South,both,16,16,True,True
3368,סחרוב,North,both,16,16,True,True
48481,שדרות שז''ר/בנייני האומה,Jerusalem,both,16,16,True,True
5048,קהילת ציון/שפרינצק,North,both,16,16,True,True
5266,גן העיר/הגליל,North,both,16,16,True,True
750,צומת רכבת ראש העין צפון,Center,both,16,16,True,True
13946,ת. רכבת האוניברסיטה/שד' רוקח,Center,both,15,15,True,True
2356,קניון לב המפרץ/ההסתדרות,North,both,15,15,True,True
24713,ת. רכבת מודיעין מרכז,Center,both,15,15,True,True
