stop_id,stop_name,topological_rank,demand_weighted_rank,rank_shift
39254,כביש 431/יהודה המכבי,167.0,328.0,-161.0
23875,שד. משה דיין/שאול המלך,4924.0,329.0,4595.0
27814,קאנטרי קלאב/שדרות דוד טוביהו,1755.0,330.0,1425.0
2240,איינשטיין/סמטת יאיר,1063.0,331.0,732.0
3335,הרצל/כרמלים,325.0,332.0,-7.0
10221,זווין/אליאך,7519.0,333.0,7186.0
24394,טשרניחובסקי/ויצמן,356.0,334.0,22.0
8667,המ''ג/ירמיהו,1904.0,335.0,1569.0
21302,צומת עוקף עפולה,1097.0,336.0,761.0
13288,הרב כהנמן/הרב זוננפלד,2751.0,337.0,2414.0
13170,צומת חולון/דרך בן צבי,2683.0,338.0,2345.0
42301,מסוף אורנית,656.0,339.0,317.0
24757,הרצל/עין הקורא,5801.0,340.0,5461.0
9659,מרכז קהילתי/שד' נווה יעקב,3143.0,341.0,2802.0
1780,הרצל/קרן היסוד,327.0,342.0,-15.0
3532,דרך עכו/המייסדים,1210.0,343.0,867.0
8663,המ''ג/זכרון יעקב,9005.0,344.0,8661.0
7568,מסילת ישרים/בית תא שמע,2154.0,345.0,1809.0
